Dictionary Name,Total Sentences (#),Total Correct Transformations (#),Total Pos->Pos Transformations (#),Correct Pos->Pos Transformations (#),Total Pos->Neg Transformations (#),Correct Pos->Neg Transformations (#),Correct Pos->Pos Transformations (%),Correct Pos->Neg Transformations (%),Total Correct Transformations (%),Total source tokens,Total Prediction Tokens per Source,Total Target Tokens per Source,Pos->Pos Token Precision (%),Pos->Neg Token Precision (%),Pos->Pos Token Recall (%),Pos->Neg Token Recall (%),Pos->Pos Category Precision (%),Pos->Neg Category Precision (%),Pos->Pos Category Recall (%),Pos->Neg Category Recall (%),Parseable Sentences (#),Pos->Pos Parseable Sentences (#),Pos->Neg Parseable Sentences (#),Parseable Sentences (%),Pos->Pos Parseable Sentences (%),Pos->Neg Parseable Sentences (%),Pos->Pos Preseve Tree Structures (%),Pos->Pos Preserve Significant Clauses (%),Pos->Neg Preseve Tree Structures (%),Pos->Neg Preserve Significant Clauses (%),Pos->Neg Predictions with Main Clause (#),Pos->Neg Predictions that Negate Main Clause (#),Pos->Neg Predictions that Negate Outside Main Clause (#),Pos->Neg Predictions that Negate Outside Main Clause (%),Pos->Neg Predictions without Main Clause (#),Pos->Neg Predictions that Negate Main Clause (Denominator: all Pos->Neg sentences),Pos->Neg Predictions that Negate Main Clause (Denominator: only Pos->Neg sentences with main clauses),Pos->Neg Predictions with Main Clause (%),Pos->Neg Predictions Containing the Target Verb (%),Pos->Neg Predictions Negating the Target Verb (Denominator: all pos->neg sentences),Pos->Neg Predictions Negating the Target Verb (Denominator: pos->neg with target verb)
3.00,"1,103.00","1,103.00",544.00,544.00,559.00,559.00,1.00,1.00,1.00,"1,677.00","2,236.00","2,236.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"1,103.00",544.00,559.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,559.00,559.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00
4.00,262.00,262.00,133.00,133.00,129.00,129.00,1.00,1.00,1.00,516.00,645.00,645.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,262.00,133.00,129.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,129.00,129.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00
5.00,"2,136.00","2,135.00","1,072.00","1,071.00","1,064.00","1,064.00",1.00,1.00,1.00,"5,320.00","6,384.00","6,384.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"2,135.00","1,071.00","1,064.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"1,064.00","1,064.00",0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00
6.00,542.00,542.00,255.00,255.00,287.00,287.00,1.00,1.00,1.00,"1,722.00","2,009.00","2,009.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,542.00,255.00,287.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,287.00,287.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00
7.00,83.00,57.00,40.00,38.00,43.00,19.00,0.95,0.44,0.69,301.00,342.00,344.00,1.00,0.75,0.98,0.75,1.00,0.75,0.99,0.75,72.00,40.00,32.00,0.87,1.00,0.74,0.98,0.98,0.44,0.72,31.00,19.00,12.00,0.39,1.00,0.44,0.61,0.72,0.95,0.47,0.49
8.00,36.00,27.00,17.00,16.00,19.00,11.00,0.94,0.58,0.75,152.00,170.00,171.00,1.00,0.81,0.96,0.80,1.00,0.81,0.96,0.80,33.00,17.00,16.00,0.92,1.00,0.84,0.94,0.94,0.58,0.84,16.00,11.00,5.00,0.31,0.00,0.58,0.69,0.84,1.00,0.63,0.63
9.00,"1,968.00","1,883.00",963.00,953.00,"1,005.00",930.00,0.99,0.93,0.96,"9,045.00","10,041.00","10,050.00",1.00,0.96,1.00,0.96,1.00,0.96,1.00,0.96,"1,949.00",963.00,986.00,0.99,1.00,0.98,0.99,0.99,0.93,0.97,979.00,933.00,43.00,0.04,7.00,0.93,0.95,0.97,1.00,0.93,0.93
10.00,980.00,926.00,496.00,483.00,484.00,443.00,0.97,0.92,0.94,"4,840.00","5,328.00","5,324.00",0.99,0.95,0.99,0.95,0.99,0.95,0.99,0.95,970.00,494.00,476.00,0.99,1.00,0.98,0.98,0.98,0.92,0.96,465.00,443.00,22.00,0.05,11.00,0.92,0.95,0.96,0.99,0.92,0.92
11.00,391.00,315.00,207.00,197.00,184.00,118.00,0.95,0.64,0.81,"2,024.00","2,194.00","2,208.00",0.97,0.81,0.98,0.81,0.97,0.81,0.98,0.81,378.00,200.00,178.00,0.97,0.97,0.97,0.95,0.95,0.64,0.93,172.00,118.00,54.00,0.31,6.00,0.64,0.69,0.93,0.98,0.66,0.67
12.00,148.00,102.00,79.00,71.00,69.00,31.00,0.90,0.45,0.69,828.00,910.00,897.00,0.95,0.67,0.95,0.68,0.95,0.68,0.95,0.69,137.00,77.00,60.00,0.93,0.97,0.87,0.90,0.90,0.46,0.78,55.00,32.00,22.00,0.40,5.00,0.46,0.58,0.80,0.99,0.49,0.50
