Dictionary Name,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Total Sentences (#),1103,262,2136,542,83,36,1968,980,391,148,230,177,518,347,156,52,257,262,175,70,65,42
Total Correct Transformations (#),1103,262,2136,542,59,28,1896,939,325,111,166,125,388,245,92,24,112,125,62,15,6,3
Total Pos->Pos Transformations (#),544,133,1072,255,40,17,963,496,207,79,111,86,252,161,78,22,138,119,83,37,36,24
Correct Pos->Pos Transformations (#),544,133,1072,255,40,17,963,496,207,79,108,85,250,160,68,12,82,77,43,12,5,2
Total Pos->Neg Transformations (#),559,129,1064,287,43,19,1005,484,184,69,119,91,266,186,78,30,119,143,92,33,29,18
Correct Pos->Neg Transformations (#),559,129,1064,287,19,11,933,443,118,32,58,40,138,85,24,12,30,48,19,3,1,1
Correct Pos->Pos Transformations (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,97.3%,98.84%,99.21%,99.38%,87.18%,54.55%,59.42%,64.71%,51.81%,32.43%,13.89%,8.33%
Correct Pos->Neg Transformations (%),100.0%,100.0%,100.0%,100.0%,44.19%,57.89%,92.84%,91.53%,64.13%,46.38%,48.74%,43.96%,51.88%,45.7%,30.77%,40.0%,25.21%,33.57%,20.65%,9.09%,3.45%,5.56%
Total Correct Transformations (%),100.0%,100.0%,100.0%,100.0%,71.08%,77.78%,96.34%,95.82%,83.12%,75.0%,72.17%,70.62%,74.9%,70.61%,58.97%,46.15%,43.58%,47.71%,35.43%,21.43%,9.23%,7.14%
Total source tokens,1677,516,5320,1722,301,152,9045,4840,2024,828,1547,1274,3990,2976,1326,540,2261,2860,1932,726,667,432
Total Prediction Tokens per Source,2236,645,6384,2009,349,172,10076,5340,2237,911,1683,1369,4337,3209,1421,571,2413,3012,2029,752,701,438
Total Target Tokens per Source,2236,645,6384,2009,344,171,10050,5324,2208,897,1666,1365,4256,3162,1404,570,2380,3003,2024,759,696,450
Pos->Pos Token Precision (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.51%,99.83%,99.92%,99.96%,97.36%,83.38%,92.87%,94.5%,89.76%,85.84%,81.53%,66.09%
Pos->Neg Token Precision (%),100.0%,100.0%,100.0%,100.0%,63.04%,69.77%,95.36%,94.14%,75.86%,65.86%,65.95%,62.16%,65.48%,64.63%,56.58%,66.02%,51.8%,58.37%,51.95%,60.77%,49.22%,46.12%
Pos->Pos Token Recall (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.51%,99.83%,99.92%,99.96%,97.36%,83.59%,92.83%,94.58%,89.5%,84.89%,82.13%,65.97%
Pos->Neg Token Recall (%),100.0%,100.0%,100.0%,100.0%,63.95%,70.18%,95.6%,94.42%,76.86%,66.89%,66.63%,62.34%,66.73%,65.59%,57.26%,66.14%,52.52%,58.54%,52.08%,60.21%,49.57%,44.89%
