Dictionary Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Total Correct,N/A,N/A,1.0,1.0,1.0,0.998,0.866,0.096,0.004,0.001,0.004,0.008,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Correct Pos Transforms,N/A,N/A,1.0,1.0,1.0,0.993,0.053,0.091,0.004,0.002,0.009,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A
Correct Neg Transforms,N/A,N/A,N/A,1.0,1.0,0.999,0.981,0.1,0.0,0.0,0.002,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equal Structures (PP),N/A,N/A,N/A,N/A,N/A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"Preserves S, AdvP, RelP Structs (PP)",N/A,N/A,N/A,N/A,N/A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Equal Structures (PN),N/A,N/A,N/A,N/A,N/A,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0
"Preserves S, AdvP, RelP Structs (PN)",N/A,N/A,N/A,N/A,N/A,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0
Negates Main Clause (PN),N/A,N/A,N/A,N/A,N/A,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0
Negates Target Verb (PN),N/A,N/A,N/A,N/A,N/A,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0
