Dictionary Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Total Sentences per Length,N/A,N/A,1063,275,2182,552,68,42,2012,955,438,132,272,176,554,383,124,61,275,244,143,38,11
Total Correct Sentences per Length,N/A,N/A,1063,275,2182,552,68,42,2012,955,437,131,261,167,529,360,100,32,142,124,54,8,0
Total pos->pos sents per len,N/A,N/A,547,146,1122,283,38,22,1050,475,230,57,150,81,277,187,63,27,135,122,67,14,3
Correct pos->pos sents per len,N/A,N/A,547,146,1122,283,38,22,1050,475,229,56,145,76,261,173,53,13,74,64,25,3,0
Total pos->neg sents per len,N/A,N/A,516,129,1060,269,30,20,962,480,208,75,122,95,277,196,61,34,140,122,76,24,8
Correct pos->neg sents per len,N/A,N/A,516,129,1060,269,30,20,962,480,208,75,116,91,268,187,47,19,68,60,29,5,0
Correct Pos->Pos Transformations,N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.57%,98.25%,96.67%,93.83%,94.22%,92.51%,84.13%,48.15%,54.81%,52.46%,37.31%,21.43%,0.0%
correct Pos->Neg Transformations,N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,95.08%,95.79%,96.75%,95.41%,77.05%,55.88%,48.57%,49.18%,38.16%,20.83%,0.0%
Total correct per len,N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.77%,99.24%,95.96%,94.89%,95.49%,93.99%,80.65%,52.46%,51.64%,50.82%,37.76%,21.05%,0.0%
Total parseable sentences (pos->pos),N/A,N/A,547,146,1122,283,38,22,1050,475,230,57,150,80,276,186,62,27,132,116,61,11,3
Parseable sentences (pos->pos),N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,98.77%,99.64%,99.47%,98.41%,100.0%,97.78%,95.08%,91.04%,78.57%,100.0%
Preserve tree structures (pos->pos),N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,98.67%,96.3%,98.19%,97.86%,88.89%,77.78%,83.7%,74.59%,73.13%,35.71%,0.0%
Preserve significant clauses (pos->pos),N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.57%,98.25%,96.67%,95.06%,94.22%,92.51%,84.13%,48.15%,54.81%,54.92%,38.81%,35.71%,0.0%
Total parseable sentences pos->neg,N/A,N/A,516,129,1060,269,30,20,962,480,208,75,122,95,277,195,60,33,137,117,74,23,8
Parseable Sentences (pos->neg),N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.49%,98.36%,97.06%,97.86%,95.9%,97.37%,95.83%,100.0%
