Dictionary Name,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Total Sentences (#),1103,262,2136,542,83,36,1968,980,391,148,230,177,518,347,156,52,257,262,175,70,65,42
Total Correct Transformations (#),1103,262,2135,542,57,27,1883,926,315,102,157,116,363,218,79,23,154,144,72,14,16,3
Total Pos->Pos Transformations (#),544,133,1072,255,40,17,963,496,207,79,111,86,252,161,78,22,138,119,83,37,36,24
Correct Pos->Pos Transformations (#),544,133,1071,255,38,16,953,483,197,71,99,78,228,135,55,14,114,90,48,10,13,2
Total Pos->Neg Transformations (#),559,129,1064,287,43,19,1005,484,184,69,119,91,266,186,78,30,119,143,92,33,29,18
Correct Pos->Neg Transformations (#),559,129,1064,287,19,11,930,443,118,31,58,38,135,83,24,9,40,54,24,4,3,1
Correct Pos->Pos Transformations (%),100.0%,100.0%,99.91%,100.0%,95.0%,94.12%,98.96%,97.38%,95.17%,89.87%,89.19%,90.7%,90.48%,83.85%,70.51%,63.64%,82.61%,75.63%,57.83%,27.03%,36.11%,8.33%
Correct Pos->Neg Transformations (%),100.0%,100.0%,100.0%,100.0%,44.19%,57.89%,92.54%,91.53%,64.13%,44.93%,48.74%,41.76%,50.75%,44.62%,30.77%,30.0%,33.61%,37.76%,26.09%,12.12%,10.34%,5.56%
Total Correct Transformations (%),100.0%,100.0%,99.95%,100.0%,68.67%,75.0%,95.68%,94.49%,80.56%,68.92%,68.26%,65.54%,70.08%,62.82%,50.64%,44.23%,59.92%,54.96%,41.14%,20.0%,24.62%,7.14%
Total source tokens,1677,516,5320,1722,301,152,9045,4840,2024,828,1547,1274,3990,2976,1326,540,2261,2860,1932,726,667,432
Total Prediction Tokens per Source,2236,645,6384,2009,342,170,10041,5328,2194,910,1663,1341,4239,3166,1389,537,2333,2938,1993,729,680,418
Total Target Tokens per Source,2236,645,6384,2009,344,171,10050,5324,2208,897,1666,1365,4256,3162,1404,570,2380,3003,2024,759,696,450
Pos->Pos Token Precision (%),100.0%,100.0%,99.91%,100.0%,99.64%,100.0%,99.7%,99.05%,97.42%,94.84%,98.11%,98.81%,97.34%,92.35%,92.85%,87.2%,95.46%,95.65%,89.38%,80.88%,86.43%,71.95%
Pos->Neg Token Precision (%),100.0%,100.0%,100.0%,100.0%,75.15%,80.59%,96.34%,95.36%,81.08%,67.47%,74.26%,70.62%,73.81%,69.65%,60.76%,72.81%,64.68%,68.72%,59.26%,57.48%,55.29%,52.63%
Pos->Pos Token Recall (%),100.0%,100.0%,100.0%,100.0%,98.21%,96.32%,99.67%,99.05%,97.85%,94.94%,97.3%,96.43%,96.69%,92.27%,90.12%,92.93%,93.9%,94.2%,89.79%,79.48%,83.09%,61.46%
Pos->Neg Token Recall (%),100.0%,100.0%,100.0%,100.0%,74.71%,80.12%,96.25%,95.44%,80.57%,68.45%,74.13%,69.38%,73.52%,69.73%,60.11%,68.6%,63.4%,67.23%,58.35%,55.2%,54.02%,48.89%
