Pos->Pos Preserve Significant Clauses (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,95.45%,100.0%,99.16%,100.0%,100.0%,88.89%,87.5%
Pos->Neg Preseve Tree Structures (%),100.0%,100.0%,100.0%,100.0%,44.19%,63.16%,92.84%,91.53%,64.13%,46.38%,49.58%,43.96%,52.26%,46.77%,34.62%,43.33%,37.82%,41.26%,33.7%,42.42%,24.14%,27.78%
Pos->Neg Preserve Significant Clauses (%),100.0%,100.0%,100.0%,100.0%,97.67%,89.47%,99.8%,95.66%,96.74%,82.61%,93.28%,86.81%,95.11%,82.8%,88.46%,83.33%,96.64%,88.11%,82.61%,90.91%,68.97%,50.0%
Pos->Neg Predictions with Main Clause (#),559,129,1064,287,42,17,1003,464,178,58,113,81,255,161,70,27,115,129,77,31,21,13
Pos->Neg Predictions that Negate Main Clause (#),559,129,1064,287,19,12,933,443,118,32,59,40,139,87,27,13,45,59,31,14,7,6
Pos->Neg Predictions that Negate Outside Main Clause (#),0,0,0,0,23,5,70,20,60,25,52,39,114,67,42,12,70,67,45,16,13,5
Pos->Neg Predictions that Negate Outside Main Clause (%),0.0%,0.0%,0.0%,0.0%,54.76%,29.41%,6.98%,4.31%,33.71%,43.1%,46.02%,48.15%,44.71%,41.61%,60.0%,44.44%,60.87%,51.94%,58.44%,51.61%,61.9%,38.46%
Pos->Neg Predictions without Main Clause (#),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Pos->Neg Predictions that Negate Main Clause (Denominator: all Pos->Neg sentences),100.0%,100.0%,100.0%,100.0%,44.19%,63.16%,92.84%,91.53%,64.13%,46.38%,49.58%,43.96%,52.26%,46.77%,34.62%,43.33%,37.82%,41.26%,33.7%,42.42%,24.14%,33.33%
Pos->Neg Predictions that Negate Main Clause (Denominator: only Pos->Neg sentences with main clauses),100.0%,100.0%,100.0%,100.0%,45.24%,70.59%,93.02%,95.47%,66.29%,55.17%,52.21%,49.38%,54.51%,54.04%,38.57%,48.15%,39.13%,45.74%,40.26%,45.16%,33.33%,46.15%
Pos->Neg Predictions with Main Clause (%),100.0%,100.0%,100.0%,100.0%,97.67%,89.47%,99.8%,95.87%,96.74%,84.06%,94.96%,89.01%,95.86%,86.56%,89.74%,90.0%,96.64%,90.21%,83.7%,93.94%,72.41%,72.22%
Pos->Neg Predictions Containing the Target Verb (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.62%,100.0%,100.0%,100.0%,100.0%,100.0%,98.91%,100.0%,96.55%,83.33%
Pos->Neg Predictions Negating the Target Verb (Denominator: all pos->neg sentences),100.0%,100.0%,100.0%,100.0%,46.51%,68.42%,92.84%,91.53%,66.3%,49.28%,49.58%,43.96%,56.39%,49.46%,41.03%,43.33%,42.02%,42.66%,36.96%,45.45%,27.59%,33.33%
Pos->Neg Predictions Negating the Target Verb (Denominator: pos->neg with target verb),100.0%,100.0%,100.0%,100.0%,46.51%,68.42%,92.84%,91.53%,66.3%,49.28%,49.58%,43.96%,56.6%,49.46%,41.03%,43.33%,42.02%,42.66%,37.36%,45.45%,28.57%,40.0%
