Pos->Pos Preserve Significant Clauses (%),100.0%,100.0%,99.81%,98.43%,10.0%,11.76%,54.72%,43.75%,33.82%,22.78%,2.7%,3.49%,0.79%,0.0%,1.28%,4.55%,2.17%,0.84%,0.0%,0.0%,0.0%,0.0%
Pos->Neg Preseve Tree Structures (%),100.0%,100.0%,98.31%,96.17%,9.3%,0.0%,41.79%,36.98%,26.63%,14.49%,2.52%,0.0%,1.5%,1.61%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Pos->Neg Preserve Significant Clauses (%),100.0%,100.0%,98.31%,96.17%,9.3%,0.0%,56.42%,41.94%,32.07%,18.84%,4.2%,0.0%,1.5%,2.69%,0.0%,0.0%,0.84%,0.7%,0.0%,0.0%,0.0%,0.0%
Pos->Neg Predictions with Main Clause (#),559,129,1058,279,22,9,805,350,113,33,53,34,100,56,16,10,30,27,14,7,3,5
Pos->Neg Predictions that Negate Main Clause (#),559,129,1058,277,22,9,799,343,104,27,49,32,97,50,14,10,30,25,12,7,2,5
Pos->Neg Predictions that Negate Outside Main Clause (#),0,0,0,0,0,0,3,2,6,5,4,1,2,3,2,0,0,2,2,0,1,0
Pos->Neg Predictions that Negate Outside Main Clause (%),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.37%,0.57%,5.31%,15.15%,7.55%,2.94%,2.0%,5.36%,12.5%,0.0%,0.0%,7.41%,14.29%,0.0%,33.33%,0.0%
Pos->Neg Predictions without Main Clause (#),0,0,0,0,11,2,24,21,15,13,10,12,25,27,14,8,16,12,12,0,2,1
Pos->Neg Predictions that Negate Main Clause (Denominator: all Pos->Neg sentences),100.0%,100.0%,99.44%,96.52%,51.16%,47.37%,79.5%,70.87%,56.52%,39.13%,41.18%,35.16%,36.47%,26.88%,17.95%,33.33%,25.21%,17.48%,13.04%,21.21%,6.9%,27.78%
Pos->Neg Predictions that Negate Main Clause (Denominator: only Pos->Neg sentences with main clauses),100.0%,100.0%,100.0%,99.28%,100.0%,100.0%,99.25%,98.0%,92.04%,81.82%,92.45%,94.12%,97.0%,89.29%,87.5%,100.0%,100.0%,92.59%,85.71%,100.0%,66.67%,100.0%
Pos->Neg Predictions with Main Clause (%),100.0%,100.0%,99.44%,97.21%,51.16%,47.37%,80.1%,72.31%,61.41%,47.83%,44.54%,37.36%,37.59%,30.11%,20.51%,33.33%,25.21%,18.88%,15.22%,21.21%,10.34%,27.78%
Pos->Neg Predictions Containing the Target Verb (%),99.82%,100.0%,85.53%,83.28%,48.84%,36.84%,78.31%,73.76%,60.33%,46.38%,43.7%,38.46%,55.26%,52.15%,41.03%,40.0%,49.58%,50.35%,50.0%,66.67%,41.38%,38.89%
Pos->Neg Predictions Negating the Target Verb (Denominator: all pos->neg sentences),99.82%,100.0%,85.53%,82.23%,44.19%,31.58%,76.62%,70.66%,52.17%,42.03%,35.29%,31.87%,42.86%,39.78%,32.05%,36.67%,38.66%,32.17%,34.78%,45.45%,27.59%,22.22%
Pos->Neg Predictions Negating the Target Verb (Denominator: pos->neg with target verb),100.0%,100.0%,100.0%,98.74%,90.48%,85.71%,97.84%,95.8%,86.49%,90.62%,80.77%,82.86%,77.55%,76.29%,78.12%,91.67%,77.97%,63.89%,69.57%,68.18%,66.67%,57.14%
