Dictionary Name,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Total Sentences (#),1103,262,2136,542,83,36,1968,980,391,148,230,177,518,347,156,52,257,262,175,70,65,42
Total Correct Transformations (#),1103,262,2136,542,59,28,1896,939,324,111,168,125,389,247,104,33,181,177,111,49,42,27
Total Pos->Pos Transformations (#),544,133,1072,255,40,17,963,496,207,79,111,86,252,161,78,22,138,119,83,37,36,24
Correct Pos->Pos Transformations (#),544,133,1072,255,40,17,963,496,207,79,110,85,250,161,77,20,136,118,81,35,34,21
Total Pos->Neg Transformations (#),559,129,1064,287,43,19,1005,484,184,69,119,91,266,186,78,30,119,143,92,33,29,18
Correct Pos->Neg Transformations (#),559,129,1064,287,19,11,933,443,117,32,58,40,139,86,27,13,45,59,30,14,8,6
Correct Pos->Pos Transformations (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.1%,98.84%,99.21%,100.0%,98.72%,90.91%,98.55%,99.16%,97.59%,94.59%,94.44%,87.5%
Correct Pos->Neg Transformations (%),100.0%,100.0%,100.0%,100.0%,44.19%,57.89%,92.84%,91.53%,63.59%,46.38%,48.74%,43.96%,52.26%,46.24%,34.62%,43.33%,37.82%,41.26%,32.61%,42.42%,27.59%,33.33%
Total Correct Transformations (%),100.0%,100.0%,100.0%,100.0%,71.08%,77.78%,96.34%,95.82%,82.86%,75.0%,73.04%,70.62%,75.1%,71.18%,66.67%,63.46%,70.43%,67.56%,63.43%,70.0%,64.62%,64.29%
Total source tokens,1677,516,5320,1722,301,152,9045,4840,2024,828,1547,1274,3990,2976,1326,540,2261,2860,1932,726,667,432
Total Prediction Tokens per Source,2236,645,6384,2009,340,170,10043,5316,2200,891,1659,1356,4238,3155,1398,567,2376,2988,2014,751,685,448
Total Target Tokens per Source,2236,645,6384,2009,344,171,10050,5324,2208,897,1666,1365,4256,3162,1404,570,2380,3003,2024,759,696,450
Pos->Pos Token Precision (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.93%,99.58%,99.89%,100.0%,99.85%,97.72%,99.62%,99.87%,99.88%,99.88%,99.16%,95.88%
Pos->Neg Token Precision (%),100.0%,100.0%,100.0%,100.0%,73.53%,78.82%,96.39%,95.99%,82.36%,73.29%,76.49%,70.87%,76.24%,72.68%,66.09%,73.37%,69.32%,71.35%,63.16%,68.58%,65.84%,70.76%
Pos->Pos Token Recall (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.93%,99.34%,99.87%,100.0%,99.77%,97.22%,99.35%,99.83%,99.6%,98.77%,99.4%,96.88%
Pos->Neg Token Recall (%),100.0%,100.0%,100.0%,100.0%,72.67%,78.36%,96.32%,95.85%,82.07%,72.8%,76.17%,70.4%,75.92%,72.52%,65.81%,72.98%,69.2%,71.0%,62.85%,67.85%,64.8%,70.44%
