Dictionary Name,Total Sentences per Length,Total Correct Sentences per Length,Total pos->pos sents per len,Correct pos->pos sents per len,Total pos->neg sents per len,Correct pos->neg sents per len,Correct Pos->Pos Transformations,correct Pos->Neg Transformations,Total correct per len,Total parseable sentences (pos->pos),Parseable sentences (pos->pos),Preserve tree structures (pos->pos),Preserve significant clauses (pos->pos),Total parseable sentences pos->neg,Parseable Sentences (pos->neg),Preserve tree structures (pos->neg),Preserve significant clauses (pos->neg),Negates main clause (pos->neg),Negates target (pos->neg),Total source tokens,total prediction tokens per source,total target tokens per source,Pos->pos token precision,Pos->neg token precision,Pos->pos token recall,Pos->neg token recall,Pos->Pos category precision,Pos->neg category precision,Pos->pos category recall,Pos->Neg category recall
13.00,272.00,256.00,150.00,137.00,122.00,119.00,0.91,0.98,0.94,150.00,1.00,0.98,0.91,122.00,1.00,1.00,0.98,0.98,0.99,"1,586.00","1,708.00","1,708.00",0.99,1.00,0.99,1.00,0.99,1.00,0.99,1.00
14.00,176.00,166.00,81.00,74.00,95.00,92.00,0.91,0.97,0.94,81.00,1.00,1.00,0.91,94.00,0.99,0.99,0.97,0.97,0.99,"1,330.00","1,426.00","1,425.00",0.99,0.99,0.99,1.00,1.00,1.00,1.00,1.00
15.00,554.00,485.00,277.00,244.00,277.00,241.00,0.88,0.87,0.88,275.00,0.99,0.97,0.88,274.00,0.99,0.98,0.87,0.87,0.98,"4,155.00","4,431.00","4,432.00",0.98,0.98,0.98,0.98,0.99,1.00,0.99,1.00
16.00,383.00,338.00,187.00,162.00,196.00,176.00,0.87,0.90,0.88,186.00,0.99,0.98,0.87,196.00,1.00,0.99,0.90,0.90,0.99,"3,136.00","3,331.00","3,332.00",0.98,0.99,0.98,0.99,1.00,1.00,1.00,1.00
17.00,124.00,88.00,63.00,47.00,61.00,41.00,0.75,0.67,0.71,61.00,0.97,0.94,0.75,60.00,0.98,0.89,0.67,0.67,0.93,"1,037.00","1,100.00","1,098.00",0.96,0.93,0.96,0.94,0.99,0.96,0.99,0.96
18.00,61.00,25.00,27.00,10.00,34.00,15.00,0.37,0.44,0.41,24.00,0.89,0.70,0.41,31.00,0.91,0.82,0.44,0.44,0.82,612.00,648.00,646.00,0.84,0.89,0.84,0.89,0.90,0.94,0.89,0.95
19.00,275.00,74.00,135.00,38.00,140.00,36.00,0.28,0.26,0.27,130.00,0.96,0.76,0.29,133.00,0.95,0.73,0.26,0.26,0.81,"2,660.00","2,800.00","2,800.00",0.87,0.87,0.87,0.87,0.95,0.95,0.95,0.95
20.00,244.00,75.00,122.00,36.00,122.00,39.00,0.30,0.32,0.31,111.00,0.91,0.72,0.34,113.00,0.93,0.73,0.34,0.32,0.84,"2,440.00","2,566.00","2,562.00",0.85,0.87,0.85,0.87,0.92,0.93,0.92,0.93
21.00,143.00,29.00,67.00,12.00,76.00,17.00,0.18,0.22,0.20,58.00,0.87,0.63,0.18,70.00,0.92,0.72,0.22,0.22,0.78,"1,596.00","1,671.00","1,672.00",0.79,0.84,0.79,0.84,0.88,0.92,0.88,0.92
22.00,38.00,3.00,14.00,0.00,24.00,3.00,0.00,0.13,0.08,8.00,0.57,0.14,0.00,22.00,0.92,0.54,0.13,0.13,0.75,528.00,553.00,552.00,0.64,0.79,0.64,0.79,0.72,0.88,0.72,0.88
23.00,11.00,1.00,3.00,0.00,8.00,1.00,0.00,0.13,0.09,3.00,1.00,0.33,0.00,7.00,0.88,0.50,0.13,0.13,0.75,184.00,191.00,192.00,0.72,0.75,0.74,0.74,0.87,0.91,0.90,0.90
