Pos->Pos Preserve Significant Clauses (%),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99298,0.99464,0.9851800000000001,0.99062,0.9871800000000001,0.9682799999999999,0.80738,0.89186,0.83446,0.7582,0.48572,0.53334
Pos->Neg Preseve Tree Structures (%),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99734,0.99344,0.98948,0.9928,0.9857199999999999,0.9245599999999999,0.87058,0.81142,0.78034,0.72894,0.575,0.475
Pos->Neg Preserve Significant Clauses (%),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99734,0.99344,0.9937,0.99424,0.9898,0.94096,0.9059,0.8842800000000001,0.8475400000000001,0.79736,0.75,0.625
Pos->Neg Predictions with Main Clause (#),516,129,1060,269,30,20,962,480,208,74.8,122,94.6,275.8,195.2,60,32.4,135.8,115,71.2,22.2,7.4
Pos->Neg Predictions that Negate Main Clause (#),516,129,1060,269,30,20,962,480,208,74.8,122,94.6,275.8,195,59.8,32.2,135.8,114.8,71,22.2,7.4
Pos->Neg Predictions that Negate Outside Main Clause (#),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pos->Neg Predictions that Negate Outside Main Clause (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pos->Neg Predictions without Main Clause (#),0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0.6,0.4,0.8,0,0,0
Pos->Neg Predictions that Negate Main Clause (Denominator: all Pos->Neg sentences),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99734,1.0,0.9958,0.99568,0.9949,0.98032,0.94708,0.97,0.94096,0.9342199999999999,0.9249799999999999,0.925
Pos->Neg Predictions that Negate Main Clause (Denominator: only Pos->Neg sentences with main clauses),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99898,0.99666,0.99376,1.0,0.99824,0.99726,1.0,1.0
Pos->Neg Predictions with Main Clause (%),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99734,1.0,0.9958,0.99568,0.99592,0.9836,0.95296,0.97,0.9426,0.93684,0.9249799999999999,0.925
Pos->Neg Predictions Containing the Target Verb (%),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99672,0.9958,0.99928,0.9969399999999999,0.97048,0.95884,0.95,0.9524400000000001,0.9420999999999999,0.9416800000000001,0.925
Pos->Neg Predictions Negating the Target Verb (Denominator: all pos->neg sentences),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99344,0.99158,0.99566,0.9897999999999999,0.94096,0.88824,0.8757199999999999,0.86886,0.8447399999999999,0.8166599999999999,0.775
Pos->Neg Predictions Negating the Target Verb (Denominator: pos->neg with target verb),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99672,0.99578,0.9963799999999999,0.99284,0.96994,0.9274,0.92184,0.91316,0.8960600000000001,0.86788,0.83926
