Pos->Neg Preseve Tree Structures (%),49.22%,3.88%,65.38%,53.16%,0.0%,0.0%,3.95%,0.83%,1.92%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Pos->Neg Preserve Significant Clauses (%),49.22%,3.88%,66.51%,53.16%,0.0%,0.0%,6.76%,1.25%,1.92%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Pos->Neg Predictions with Main Clause (#),345,42,843,153,16,6,686,322,107,28,45,37,116,73,23,11,46,41,25,7,4
Pos->Neg Predictions that Negate Main Clause (#),345,42,843,152,16,6,686,322,106,28,45,37,116,73,23,11,46,41,25,7,4
Pos->Neg Predictions that Negate Outside Main Clause (#),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pos->Neg Predictions that Negate Outside Main Clause (%),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Pos->Neg Predictions without Main Clause (#),0,0,1,0,7,3,35,20,25,13,20,9,34,33,12,9,16,10,14,3,1
Pos->Neg Predictions that Negate Main Clause (Denominator: all Pos->Neg sentences),66.86%,32.56%,79.53%,56.51%,53.33%,30.0%,71.31%,67.08%,50.96%,37.33%,36.89%,38.95%,41.88%,37.24%,37.7%,32.35%,32.86%,33.61%,32.89%,29.17%,50.0%
Pos->Neg Predictions that Negate Main Clause (Denominator: only Pos->Neg sentences with main clauses),100.0%,100.0%,100.0%,99.35%,100.0%,100.0%,100.0%,100.0%,99.07%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Pos->Neg Predictions with Main Clause (%),66.86%,32.56%,79.53%,56.88%,53.33%,30.0%,71.31%,67.08%,51.44%,37.33%,36.89%,38.95%,41.88%,37.24%,37.7%,32.35%,32.86%,33.61%,32.89%,29.17%,50.0%
Pos->Neg Predictions Containing the Target Verb (%),6.2%,2.33%,21.89%,18.96%,0.0%,0.0%,16.63%,16.25%,12.5%,17.33%,14.75%,3.16%,13.0%,13.27%,13.11%,5.88%,14.29%,11.48%,15.79%,25.0%,25.0%
Pos->Neg Predictions Negating the Target Verb (Denominator: all pos->neg sentences),6.01%,2.33%,21.79%,17.47%,0.0%,0.0%,14.03%,14.37%,9.13%,17.33%,8.2%,2.11%,8.66%,8.67%,6.56%,2.94%,8.57%,7.38%,7.89%,12.5%,25.0%
Pos->Neg Predictions Negating the Target Verb (Denominator: pos->neg with target verb),96.88%,100.0%,99.57%,92.16%,0,0,84.38%,88.46%,73.08%,100.0%,55.56%,66.67%,66.67%,65.38%,50.0%,50.0%,60.0%,64.29%,50.0%,50.0%,100.0%
