Dictionary Name,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Total Sentences (#),1103,262,2136,542,83,36,1968,980,391,148,230,177,518,347,156,52,257,262,175,70,65,42
Total Correct Transformations (#),1103,262,2136,542,59,28,1896,939,325,111,170,126,391,248,105,35,183,177,114,2,3,0
Total Pos->Pos Transformations (#),544,133,1072,255,40,17,963,496,207,79,111,86,252,161,78,22,138,119,83,37,36,24
Correct Pos->Pos Transformations (#),544,133,1072,255,40,17,963,496,207,79,111,86,252,161,78,22,138,118,83,2,3,0
Total Pos->Neg Transformations (#),559,129,1064,287,43,19,1005,484,184,69,119,91,266,186,78,30,119,143,92,33,29,18
Correct Pos->Neg Transformations (#),559,129,1064,287,19,11,933,443,118,32,59,40,139,87,27,13,45,59,31,0,0,0
Correct Pos->Pos Transformations (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.16%,100.0%,5.41%,8.33%,0.0%
Correct Pos->Neg Transformations (%),100.0%,100.0%,100.0%,100.0%,44.19%,57.89%,92.84%,91.53%,64.13%,46.38%,49.58%,43.96%,52.26%,46.77%,34.62%,43.33%,37.82%,41.26%,33.7%,0.0%,0.0%,0.0%
Total Correct Transformations (%),100.0%,100.0%,100.0%,100.0%,71.08%,77.78%,96.34%,95.82%,83.12%,75.0%,73.91%,71.19%,75.48%,71.47%,67.31%,67.31%,71.21%,67.56%,65.14%,2.86%,4.62%,0.0%
Total source tokens,1677,516,5320,1722,301,152,9045,4840,2024,828,1547,1274,3990,2976,1326,540,2261,2860,1932,726,667,432
Total Prediction Tokens per Source,2236,645,6384,2009,344,171,10050,5318,2207,891,1663,1362,4252,3142,1393,568,2379,2990,2009,757,664,435
Total Target Tokens per Source,2236,645,6384,2009,344,171,10050,5324,2208,897,1666,1365,4256,3162,1404,570,2380,3003,2024,759,696,450
Pos->Pos Token Precision (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,95.7%,94.14%,88.73%
Pos->Neg Token Precision (%),100.0%,100.0%,100.0%,100.0%,72.09%,82.46%,96.22%,96.62%,82.37%,77.44%,78.05%,74.23%,76.83%,76.73%,71.36%,76.94%,69.53%,71.71%,68.19%,67.64%,64.91%,55.86%
Pos->Pos Token Recall (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.79%,100.0%,95.7%,93.12%,88.89%
Pos->Neg Token Recall (%),100.0%,100.0%,100.0%,100.0%,72.09%,82.46%,96.22%,96.51%,82.34%,76.92%,77.91%,74.07%,76.76%,76.25%,70.8%,76.67%,69.5%,71.4%,67.69%,67.46%,61.93%,54.0%
