Dictionary Name,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Total Sentences (#),1103,262,2136,542,83,36,1968,980,391,148,230,177,518,347,156,52,257,262,175,70,65,42
Total Correct Transformations (#),1103,262,2136,542,59,28,1896,939,325,111,170,126,391,248,105,35,183,178,114,6,0,0
Total Pos->Pos Transformations (#),544,133,1072,255,40,17,963,496,207,79,111,86,252,161,78,22,138,119,83,37,36,24
Correct Pos->Pos Transformations (#),544,133,1072,255,40,17,963,496,207,79,111,86,252,161,78,22,138,119,83,5,0,0
Total Pos->Neg Transformations (#),559,129,1064,287,43,19,1005,484,184,69,119,91,266,186,78,30,119,143,92,33,29,18
Correct Pos->Neg Transformations (#),559,129,1064,287,19,11,933,443,118,32,59,40,139,87,27,13,45,59,31,1,0,0
Correct Pos->Pos Transformations (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,13.51%,0.0%,0.0%
Correct Pos->Neg Transformations (%),100.0%,100.0%,100.0%,100.0%,44.19%,57.89%,92.84%,91.53%,64.13%,46.38%,49.58%,43.96%,52.26%,46.77%,34.62%,43.33%,37.82%,41.26%,33.7%,3.03%,0.0%,0.0%
Total Correct Transformations (%),100.0%,100.0%,100.0%,100.0%,71.08%,77.78%,96.34%,95.82%,83.12%,75.0%,73.91%,71.19%,75.48%,71.47%,67.31%,67.31%,71.21%,67.94%,65.14%,8.57%,0.0%,0.0%
Total source tokens,1677,516,5320,1722,301,152,9045,4840,2024,828,1547,1274,3990,2976,1326,540,2261,2860,1932,726,667,432
Total Prediction Tokens per Source,2236,645,6384,2009,344,171,10050,5324,2208,897,1666,1365,4256,3160,1403,570,2380,3000,2018,761,672,429
Total Target Tokens per Source,2236,645,6384,2009,344,171,10050,5324,2208,897,1666,1365,4256,3162,1404,570,2380,3003,2024,759,696,450
Pos->Pos Token Precision (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,95.83%,94.23%,89.81%
Pos->Neg Token Precision (%),100.0%,100.0%,100.0%,100.0%,72.09%,80.12%,96.22%,96.09%,82.11%,74.92%,77.31%,72.09%,76.53%,74.59%,69.99%,78.25%,69.12%,71.47%,66.8%,67.15%,63.69%,54.78%
Pos->Pos Token Recall (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,96.07%,92.63%,88.72%
Pos->Neg Token Recall (%),100.0%,100.0%,100.0%,100.0%,72.09%,80.12%,96.22%,96.09%,82.11%,74.92%,77.31%,72.09%,76.53%,74.54%,69.94%,78.25%,69.12%,71.4%,66.6%,67.33%,61.49%,52.22%
