Dictionary Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Total Sentences per Length,N/A,N/A,1063,275,2182,552,68,42,2012,955,438,132,272,176,554,383,124,61,275,244,143,38,11
Total Correct Sentences per Length,N/A,N/A,1063,275,2182,552,68,42,2012,954,437,128,256,166,485,338,88,25,74,75,29,3,1
Total pos->pos sents per len,N/A,N/A,547,146,1122,283,38,22,1050,475,230,57,150,81,277,187,63,27,135,122,67,14,3
Correct pos->pos sents per len,N/A,N/A,547,146,1122,283,38,22,1050,474,230,54,137,74,244,162,47,10,38,36,12,0,0
Total pos->neg sents per len,N/A,N/A,516,129,1060,269,30,20,962,480,208,75,122,95,277,196,61,34,140,122,76,24,8
Correct pos->neg sents per len,N/A,N/A,516,129,1060,269,30,20,962,480,207,74,119,92,241,176,41,15,36,39,17,3,1
Correct Pos->Pos Transformations,N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.79%,100.0%,94.74%,91.33%,91.36%,88.09%,86.63%,74.6%,37.04%,28.15%,29.51%,17.91%,0.0%,0.0%
correct Pos->Neg Transformations,N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.52%,98.67%,97.54%,96.84%,87.0%,89.8%,67.21%,44.12%,25.71%,31.97%,22.37%,12.5%,12.5%
Total correct per len,N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.9%,99.77%,96.97%,94.12%,94.32%,87.55%,88.25%,70.97%,40.98%,26.91%,30.74%,20.28%,7.89%,9.09%
Total parseable sentences (pos->pos),N/A,N/A,547,146,1122,283,38,22,1050,475,230,57,150,81,275,186,61,24,130,111,58,8,3
Parseable sentences (pos->pos),N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.28%,99.47%,96.83%,88.89%,96.3%,90.98%,86.57%,57.14%,100.0%
Preserve tree structures (pos->pos),N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,98.0%,100.0%,97.11%,97.86%,93.65%,70.37%,75.56%,72.13%,62.69%,14.29%,33.33%
Preserve significant clauses (pos->pos),N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.79%,100.0%,94.74%,91.33%,91.36%,88.09%,86.63%,74.6%,40.74%,28.89%,33.61%,17.91%,0.0%,0.0%
Total parseable sentences pos->neg,N/A,N/A,516,129,1060,269,30,20,962,480,208,74,122,94,274,196,60,31,133,113,70,22,7
Parseable Sentences (pos->neg),N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,98.67%,100.0%,98.95%,98.92%,100.0%,98.36%,91.18%,95.0%,92.62%,92.11%,91.67%,87.5%
Preserve tree structures (pos->neg),N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,98.67%,100.0%,98.95%,97.83%,98.98%,88.52%,82.35%,72.86%,72.95%,72.37%,54.17%,50.0%
Preserve significant clauses (pos->neg),N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.52%,98.67%,97.54%,96.84%,87.0%,89.8%,67.21%,44.12%,26.43%,34.43%,22.37%,12.5%,12.5%
Negates main clause (pos->neg),N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.52%,98.67%,97.54%,96.84%,87.0%,89.8%,67.21%,44.12%,25.71%,31.97%,22.37%,12.5%,12.5%
Negates target (pos->neg),N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.18%,98.95%,98.19%,99.49%,93.44%,82.35%,81.43%,84.43%,77.63%,75.0%,75.0%
Total source tokens,N/A,N/A,1548,516,5300,1614,210,160,8658,4800,2288,900,1586,1330,4155,3136,1037,612,2660,2440,1596,528,184
total prediction tokens per source,N/A,N/A,2064,645,6360,1883,240,180,9620,5280,2496,974,1708,1426,4431,3331,1100,648,2800,2566,1671,553,191
total target tokens per source,N/A,N/A,2064,645,6360,1883,240,180,9620,5280,2496,975,1708,1425,4432,3332,1098,646,2800,2562,1672,552,192
Pos->pos token precision,N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.98%,100.0%,99.12%,98.56%,99.12%,98.03%,98.23%,96.07%,84.06%,86.58%,84.83%,78.97%,63.84%,71.83%
Pos->neg token precision,N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.92%,99.49%,99.71%,99.44%,98.28%,98.86%,93.36%,89.04%,86.68%,86.83%,83.66%,78.84%,74.87%
Pos->pos token recall,N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.98%,100.0%,99.12%,98.56%,99.12%,98.05%,98.23%,95.99%,83.54%,86.78%,84.8%,79.25%,63.64%,73.91%
Pos->neg token recall,N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.92%,99.38%,99.71%,99.51%,98.26%,98.83%,93.53%,89.32%,86.68%,86.96%,83.61%,78.99%,74.48%
Pos->Pos category precision,N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.49%,100.0%,99.28%,99.57%,99.07%,89.86%,95.02%,92.09%,87.96%,72.31%,87.32%
Pos->neg category precision,N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.49%,100.0%,99.58%,99.59%,99.88%,96.27%,94.29%,94.71%,93.34%,91.86%,88.07%,90.58%
Pos->pos category recall,N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.49%,100.0%,99.3%,99.57%,98.97%,89.3%,95.24%,92.05%,88.27%,72.08%,89.86%
Pos->Neg category recall,N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.38%,100.0%,99.65%,99.57%,99.85%,96.45%,94.58%,94.71%,93.48%,91.81%,88.22%,90.1%
