Dictionary Name,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Total Sentences (#),182,114,806,406,799,424,715,523,1559,1063,462,143,768,743,547,340,233,173
Total Correct Transformations (#),80,60,415,192,397,196,334,235,677,472,158,33,123,137,58,24,4,2
Total Pos->Pos Transformations (#),80,60,415,192,400,202,361,257,761,524,236,79,379,372,285,166,106,92
Correct Pos->Pos Transformations (#),80,60,415,192,397,196,334,235,677,472,158,33,123,137,58,24,4,2
Total Pos->Neg Transformations (#),102,54,391,214,399,222,354,266,798,539,226,64,389,371,262,174,127,81
Correct Pos->Neg Transformations (#),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Correct Pos->Pos Transformations (%),100.0%,100.0%,100.0%,100.0%,99.25%,97.03%,92.52%,91.44%,88.96%,90.08%,66.95%,41.77%,32.45%,36.83%,20.35%,14.46%,3.77%,2.17%
Correct Pos->Neg Transformations (%),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Total Correct Transformations (%),43.96%,52.63%,51.49%,47.29%,49.69%,46.23%,46.71%,44.93%,43.43%,44.4%,34.2%,23.08%,16.02%,18.44%,10.6%,7.06%,1.72%,1.16%
Total source tokens,714,432,3519,2140,4389,2664,4602,3724,11970,8624,3842,1152,7391,7420,5502,3828,2921,1944
Total Prediction Tokens per Source,842,506,4066,2421,4950,2958,5048,4079,13144,9354,4132,1228,7943,7877,5761,3978,3043,2000
Total Target Tokens per Source,816,486,3910,2354,4788,2886,4956,3990,12768,9163,4068,1216,7780,7791,5764,4002,3048,2025
Pos->Pos Token Precision (%),100.0%,100.0%,100.0%,100.0%,99.91%,99.22%,98.66%,98.33%,98.39%,98.27%,92.74%,85.05%,86.82%,87.71%,78.84%,74.67%,65.11%,58.89%
Pos->Neg Token Precision (%),28.38%,24.11%,32.59%,30.94%,34.59%,35.5%,39.44%,38.44%,35.23%,39.5%,40.8%,39.58%,31.44%,32.42%,32.82%,35.57%,35.1%,30.5%
Pos->Pos Token Recall (%),100.0%,100.0%,100.0%,100.0%,99.91%,99.26%,98.59%,98.3%,98.41%,98.29%,92.7%,85.58%,86.78%,87.49%,78.68%,74.34%,65.05%,58.51%
Pos->Neg Token Recall (%),29.29%,25.1%,33.89%,31.82%,35.76%,36.38%,40.17%,39.3%,36.27%,40.33%,41.45%,39.97%,32.1%,32.78%,32.81%,35.36%,35.04%,30.12%
Pos->Pos Category Precision (%),100.0%,100.0%,100.0%,100.0%,100.0%,99.51%,99.79%,99.19%,99.47%,99.13%,96.01%,89.87%,93.26%,93.56%,86.54%,82.84%,77.91%,72.38%
Pos->Neg Category Precision (%),28.5%,24.11%,32.61%,31.06%,34.71%,35.63%,39.9%,39.0%,36.23%,40.78%,42.59%,42.75%,34.48%,35.56%,37.84%,42.11%,43.94%,38.45%
Pos->Pos Category Recall (%),100.0%,100.0%,100.0%,100.0%,100.0%,99.55%,99.72%,99.17%,99.49%,99.15%,95.96%,90.44%,93.22%,93.32%,86.37%,82.48%,77.85%,71.92%
Pos->Neg Category Recall (%),29.41%,25.1%,33.91%,31.95%,35.88%,36.52%,40.64%,39.87%,37.3%,41.63%,43.26%,43.17%,35.21%,35.95%,37.82%,41.85%,43.86%,37.98%
Parseable Sentences (#),166,112,776,396,772,417,689,505,1475,1013,441,134,703,661,468,285,191,109
Pos->Pos Parseable Sentences (#),80,60,415,192,400,202,360,257,755,520,227,74,354,345,246,138,78,55
Pos->Neg Parseable Sentences (#),86,52,361,204,372,215,329,248,720,493,214,60,349,316,222,147,113,54
Parseable Sentences (%),91.21%,98.25%,96.28%,97.54%,96.62%,98.35%,96.36%,96.56%,94.61%,95.3%,95.45%,93.71%,91.54%,88.96%,85.56%,83.82%,81.97%,63.01%
Pos->Pos Parseable Sentences (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.72%,100.0%,99.21%,99.24%,96.19%,93.67%,93.4%,92.74%,86.32%,83.13%,73.58%,59.78%
Pos->Neg Parseable Sentences (%),84.31%,96.3%,92.33%,95.33%,93.23%,96.85%,92.94%,93.23%,90.23%,91.47%,94.69%,93.75%,89.72%,85.18%,84.73%,84.48%,88.98%,66.67%
Pos->Pos Preseve Tree Structures (%),100.0%,100.0%,100.0%,100.0%,100.0%,99.5%,98.06%,97.28%,97.63%,97.33%,86.44%,73.42%,72.82%,70.97%,57.89%,46.39%,30.19%,18.48%
Pos->Pos Preserve Significant Clauses (%),100.0%,100.0%,100.0%,100.0%,100.0%,99.5%,99.17%,98.44%,98.69%,97.9%,87.71%,75.95%,83.64%,83.06%,65.61%,52.41%,36.79%,28.26%
Pos->Neg Preseve Tree Structures (%),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Pos->Neg Preserve Significant Clauses (%),0.98%,1.85%,1.28%,1.87%,2.26%,4.05%,0.56%,0.75%,0.75%,0.37%,0.88%,0.0%,0.0%,0.27%,0.0%,0.0%,0.0%,0.0%
Pos->Neg Predictions with Main Clause (#),54,37,231,164,257,163,231,174,452,365,152,44,200,207,154,109,77,42
Pos->Neg Predictions that Negate Main Clause (#),53,36,226,160,248,153,229,172,446,361,148,44,200,203,154,109,77,42
Pos->Neg Predictions that Negate Outside Main Clause (#),1,1,5,4,9,9,2,2,6,2,3,0,0,3,0,0,0,0
Pos->Neg Predictions that Negate Outside Main Clause (%),1.85%,2.7%,2.16%,2.44%,3.5%,5.52%,0.87%,1.15%,1.33%,0.55%,1.97%,0.0%,0.0%,1.45%,0.0%,0.0%,0.0%,0.0%
Pos->Neg Predictions without Main Clause (#),32,15,130,40,115,52,98,74,268,128,62,16,149,109,68,38,36,12
Pos->Neg Predictions that Negate Main Clause (Denominator: all Pos->Neg sentences),51.96%,66.67%,57.8%,74.77%,62.16%,68.92%,64.69%,64.66%,55.89%,66.98%,65.49%,68.75%,51.41%,54.72%,58.78%,62.64%,60.63%,51.85%
Pos->Neg Predictions that Negate Main Clause (Denominator: only Pos->Neg sentences with main clauses),98.15%,97.3%,97.84%,97.56%,96.5%,93.87%,99.13%,98.85%,98.67%,98.9%,97.37%,100.0%,100.0%,98.07%,100.0%,100.0%,100.0%,100.0%
Pos->Neg Predictions with Main Clause (%),52.94%,68.52%,59.08%,76.64%,64.41%,73.42%,65.25%,65.41%,56.64%,67.72%,67.26%,68.75%,51.41%,55.8%,58.78%,62.64%,60.63%,51.85%
Pos->Neg Predictions Containing the Target Verb (#),96,54,387,214,398,222,337,247,788,528,221,60,358,341,246,147,108,64
Pos->Neg Predictions Containing the Target Verb (%),94.12%,100.0%,98.98%,100.0%,99.75%,100.0%,95.2%,92.86%,98.75%,97.96%,97.79%,93.75%,92.03%,91.91%,93.89%,84.48%,85.04%,79.01%
Pos->Neg Prediction Negating the Target Verb (#),8,7,0,1,44,28,5,0,65,67,27,5,39,32,35,15,9,6
Pos->Neg Predictions Negating the Target Verb (Denominator: all pos->neg sentences),7.84%,12.96%,0.0%,0.47%,11.03%,12.61%,1.41%,0.0%,8.15%,12.43%,11.95%,7.81%,10.03%,8.63%,13.36%,8.62%,7.09%,7.41%
Pos->Neg Predictions Negating the Target Verb (Denominator: pos->neg with target verb),8.33%,12.96%,0.0%,0.47%,11.06%,12.61%,1.48%,0.0%,8.25%,12.69%,12.22%,8.33%,10.89%,9.38%,14.23%,10.2%,8.33%,9.38%
