Pos->Neg Predictions with Main Clause (#),516,129,1060,269,30,20,962,480,208,75,122,95,277,196,61,32.4,139,120.2,73.6,21,5.2
Pos->Neg Predictions that Negate Main Clause (#),516,129,1060,269,30,20,962,480,208,75,122,95,277,196,61,32.4,138.8,120,73.6,21,5.2
Pos->Neg Predictions that Negate Outside Main Clause (#),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pos->Neg Predictions that Negate Outside Main Clause (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pos->Neg Predictions without Main Clause (#),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1,0.6,0,0
Pos->Neg Predictions that Negate Main Clause (Denominator: all Pos->Neg sentences),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95296,0.9914600000000001,0.9836,0.96842,0.875,0.65
Pos->Neg Predictions that Negate Main Clause (Denominator: only Pos->Neg sentences with main clauses),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99856,0.99834,1.0,1.0,1.0
Pos->Neg Predictions with Main Clause (%),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95296,0.9928800000000001,0.98524,0.96842,0.875,0.65
Pos->Neg Predictions Containing the Target Verb (%),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99412,0.99858,0.9836,0.98418,0.99166,1.0
Pos->Neg Predictions Negating the Target Verb (Denominator: all pos->neg sentences),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98824,0.9957400000000001,0.98196,0.9815600000000001,0.99166,1.0
Pos->Neg Predictions Negating the Target Verb (Denominator: pos->neg with target verb),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99412,0.99716,0.99836,0.99734,1.0,1.0
