Dictionary Name,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Total Sentences (#),1103,262,2136,542,83,36,1968,980,391,148,230,177,518,347,156,52,257,262,175,70,65,42
Total Correct Transformations (#),1103,262,2136,542,58,28,1894,938,320,109,169,123,387,248,101,34,175,168,101,44,35,18
Total Pos->Pos Transformations (#),544,133,1072,255,40,17,963,496,207,79,111,86,252,161,78,22,138,119,83,37,36,24
Correct Pos->Pos Transformations (#),544,133,1072,255,39,17,961,495,202,77,110,83,249,161,74,21,131,113,72,35,27,15
Total Pos->Neg Transformations (#),559,129,1064,287,43,19,1005,484,184,69,119,91,266,186,78,30,119,143,92,33,29,18
Correct Pos->Neg Transformations (#),559,129,1064,287,19,11,933,443,118,32,59,40,138,87,27,13,44,55,29,9,8,3
Correct Pos->Pos Transformations (%),100.0%,100.0%,100.0%,100.0%,97.5%,100.0%,99.79%,99.8%,97.58%,97.47%,99.1%,96.51%,98.81%,100.0%,94.87%,95.45%,94.93%,94.96%,86.75%,94.59%,75.0%,62.5%
Correct Pos->Neg Transformations (%),100.0%,100.0%,100.0%,100.0%,44.19%,57.89%,92.84%,91.53%,64.13%,46.38%,49.58%,43.96%,51.88%,46.77%,34.62%,43.33%,36.97%,38.46%,31.52%,27.27%,27.59%,16.67%
Total Correct Transformations (%),100.0%,100.0%,100.0%,100.0%,69.88%,77.78%,96.24%,95.71%,81.84%,73.65%,73.48%,69.49%,74.71%,71.47%,64.74%,65.38%,68.09%,64.12%,57.71%,62.86%,53.85%,42.86%
Total source tokens,1677,516,5320,1722,301,152,9045,4840,2024,828,1547,1274,3990,2976,1326,540,2261,2860,1932,726,667,432
Total Prediction Tokens per Source,2236,645,6384,2009,343,170,10052,5312,2211,887,1666,1347,4257,3138,1396,557,2415,3010,2020,788,695,473
Total Target Tokens per Source,2236,645,6384,2009,344,171,10050,5324,2208,897,1666,1365,4256,3162,1404,570,2380,3003,2024,759,696,450
Pos->Pos Token Precision (%),100.0%,100.0%,100.0%,100.0%,97.85%,100.0%,100.0%,99.88%,98.61%,98.85%,99.72%,99.58%,98.97%,100.0%,97.91%,97.51%,98.14%,98.79%,98.24%,99.75%,95.98%,93.78%
Pos->Neg Token Precision (%),100.0%,100.0%,100.0%,100.0%,72.59%,78.24%,96.22%,95.84%,82.04%,72.6%,76.17%,70.75%,76.16%,72.37%,66.76%,73.43%,67.45%,70.3%,64.75%,64.72%,63.74%,54.55%
Pos->Pos Token Recall (%),100.0%,100.0%,100.0%,100.0%,97.5%,100.0%,99.91%,100.0%,99.91%,99.89%,99.79%,99.58%,99.44%,100.0%,98.87%,98.99%,98.78%,99.37%,99.25%,99.02%,95.17%,91.67%
Pos->Neg Token Recall (%),100.0%,100.0%,100.0%,100.0%,72.38%,77.78%,96.24%,95.62%,82.16%,71.79%,76.17%,69.82%,76.17%,71.82%,66.38%,71.75%,68.45%,70.46%,64.62%,67.19%,63.65%,57.33%
