Pos->Pos Preserve Significant Clauses (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,98.84%,99.21%,97.52%,96.15%,77.27%,88.41%,81.51%,75.9%,64.86%,55.56%,33.33%
Pos->Neg Preseve Tree Structures (%),100.0%,100.0%,100.0%,100.0%,44.19%,57.89%,92.84%,91.53%,64.13%,46.38%,49.58%,42.86%,52.26%,45.7%,32.05%,40.0%,34.45%,35.66%,23.91%,27.27%,13.79%,22.22%
Pos->Neg Preserve Significant Clauses (%),100.0%,100.0%,100.0%,100.0%,51.16%,73.68%,93.53%,92.77%,68.48%,49.28%,52.1%,46.15%,53.01%,47.31%,33.33%,40.0%,36.97%,38.46%,29.35%,30.3%,13.79%,22.22%
Pos->Neg Predictions with Main Clause (#),559,129,1064,287,37,19,973,473,153,58,97,66,199,134,53,27,75,89,60,18,17,7
Pos->Neg Predictions that Negate Main Clause (#),559,129,1064,287,34,16,966,467,145,56,94,64,196,132,53,27,75,89,59,18,17,7
Pos->Neg Predictions that Negate Outside Main Clause (#),0,0,0,0,3,3,7,6,8,2,3,2,3,1,0,0,0,0,1,0,0,0
Pos->Neg Predictions that Negate Outside Main Clause (%),0.0%,0.0%,0.0%,0.0%,8.11%,15.79%,0.72%,1.27%,5.23%,3.45%,3.09%,3.03%,1.51%,0.75%,0.0%,0.0%,0.0%,0.0%,1.67%,0.0%,0.0%,0.0%
Pos->Neg Predictions without Main Clause (#),0,0,0,0,5,0,30,6,21,7,21,20,59,38,21,2,39,46,23,13,7,9
Pos->Neg Predictions that Negate Main Clause (Denominator: all Pos->Neg sentences),100.0%,100.0%,100.0%,100.0%,79.07%,84.21%,96.12%,96.49%,78.8%,81.16%,78.99%,70.33%,73.68%,70.97%,67.95%,90.0%,63.03%,62.24%,64.13%,54.55%,58.62%,38.89%
Pos->Neg Predictions that Negate Main Clause (Denominator: only Pos->Neg sentences with main clauses),100.0%,100.0%,100.0%,100.0%,91.89%,84.21%,99.28%,98.73%,94.77%,96.55%,96.91%,96.97%,98.49%,98.51%,100.0%,100.0%,100.0%,100.0%,98.33%,100.0%,100.0%,100.0%
Pos->Neg Predictions with Main Clause (%),100.0%,100.0%,100.0%,100.0%,86.05%,100.0%,96.82%,97.73%,83.15%,84.06%,81.51%,72.53%,74.81%,72.04%,67.95%,90.0%,63.03%,62.24%,65.22%,54.55%,58.62%,38.89%
Pos->Neg Predictions Containing the Target Verb (%),100.0%,100.0%,100.0%,100.0%,95.35%,100.0%,99.4%,99.79%,99.46%,100.0%,98.32%,95.6%,99.62%,98.39%,96.15%,96.67%,95.8%,94.41%,92.39%,96.97%,93.1%,77.78%
Pos->Neg Predictions Negating the Target Verb (Denominator: all pos->neg sentences),100.0%,100.0%,100.0%,100.0%,46.51%,63.16%,92.84%,91.53%,66.3%,49.28%,50.42%,43.96%,56.39%,50.54%,42.31%,43.33%,42.02%,42.66%,41.3%,45.45%,27.59%,33.33%
Pos->Neg Predictions Negating the Target Verb (Denominator: pos->neg with target verb),100.0%,100.0%,100.0%,100.0%,48.78%,63.16%,93.39%,91.72%,66.67%,49.28%,51.28%,45.98%,56.6%,51.37%,44.0%,44.83%,43.86%,45.19%,44.71%,46.88%,29.63%,42.86%
