Dictionary Name,Total Sentences (#),Total Correct Transformations (#),Total Pos->Pos Transformations (#),Correct Pos->Pos Transformations (#),Total Pos->Neg Transformations (#),Correct Pos->Neg Transformations (#),Correct Pos->Pos Transformations (%),Correct Pos->Neg Transformations (%),Total Correct Transformations (%),Total source tokens,Total Prediction Tokens per Source,Total Target Tokens per Source,Pos->Pos Token Precision (%),Pos->Neg Token Precision (%),Pos->Pos Token Recall (%),Pos->Neg Token Recall (%),Pos->Pos Category Precision (%),Pos->Neg Category Precision (%),Pos->Pos Category Recall (%),Pos->Neg Category Recall (%),Parseable Sentences (#),Pos->Pos Parseable Sentences (#),Pos->Neg Parseable Sentences (#),Parseable Sentences (%),Pos->Pos Parseable Sentences (%),Pos->Neg Parseable Sentences (%),Pos->Pos Preseve Tree Structures (%),Pos->Pos Preserve Significant Clauses (%),Pos->Neg Preseve Tree Structures (%),Pos->Neg Preserve Significant Clauses (%),Pos->Neg Predictions with Main Clause (#),Pos->Neg Predictions that Negate Main Clause (#),Pos->Neg Predictions that Negate Outside Main Clause (#),Pos->Neg Predictions that Negate Outside Main Clause (%),Pos->Neg Predictions without Main Clause (#),Pos->Neg Predictions that Negate Main Clause (Denominator: all Pos->Neg sentences),Pos->Neg Predictions that Negate Main Clause (Denominator: only Pos->Neg sentences with main clauses),Pos->Neg Predictions with Main Clause (%),Pos->Neg Predictions Containing the Target Verb (%),Pos->Neg Predictions Negating the Target Verb (Denominator: all pos->neg sentences),Pos->Neg Predictions Negating the Target Verb (Denominator: pos->neg with target verb)
7.00,182.00,80.00,80.00,80.00,102.00,0.00,1.00,0.00,0.44,714.00,816.00,816.00,1.00,0.50,1.00,0.50,1.00,0.50,1.00,0.50,182.00,80.00,102.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,102.00,0.00,102.00,1.00,0.00,0.00,0.00,1.00,1.00,0.08,0.08
8.00,114.00,60.00,60.00,60.00,54.00,0.00,1.00,0.00,0.53,432.00,486.00,486.00,1.00,0.54,1.00,0.54,1.00,0.54,1.00,0.54,90.00,60.00,30.00,0.79,1.00,0.56,1.00,1.00,0.00,0.56,30.00,0.00,30.00,1.00,0.00,0.00,0.00,0.56,1.00,0.07,0.07
9.00,806.00,415.00,415.00,415.00,391.00,0.00,1.00,0.00,0.51,"3,519.00","3,910.00","3,910.00",1.00,0.50,1.00,0.50,1.00,0.50,1.00,0.50,800.00,415.00,385.00,0.99,1.00,0.98,1.00,1.00,0.00,0.98,385.00,0.00,385.00,1.00,0.00,0.00,0.00,0.98,1.00,0.00,0.00
10.00,406.00,192.00,192.00,192.00,214.00,0.00,1.00,0.00,0.47,"2,140.00","2,342.00","2,354.00",1.00,0.53,1.00,0.53,1.00,0.53,1.00,0.53,306.00,192.00,114.00,0.75,1.00,0.53,1.00,1.00,0.00,0.53,114.00,0.00,114.00,1.00,0.00,0.00,0.00,0.53,0.99,0.00,0.00
11.00,799.00,400.00,400.00,400.00,399.00,0.00,1.00,0.00,0.50,"4,389.00","4,788.00","4,788.00",1.00,0.50,1.00,0.50,1.00,0.50,1.00,0.50,777.00,400.00,377.00,0.97,1.00,0.94,1.00,1.00,0.00,0.94,377.00,0.00,377.00,1.00,0.00,0.00,0.00,0.94,1.00,0.11,0.11
12.00,424.00,202.00,202.00,202.00,222.00,0.00,1.00,0.00,0.48,"2,664.00","2,886.00","2,886.00",1.00,0.54,1.00,0.54,1.00,0.55,1.00,0.55,322.00,202.00,120.00,0.76,1.00,0.54,1.00,1.00,0.00,0.54,120.00,0.00,120.00,1.00,0.00,0.00,0.00,0.54,1.00,0.09,0.09
13.00,715.00,361.00,361.00,361.00,354.00,0.00,1.00,0.00,0.50,"4,602.00","4,956.00","4,956.00",1.00,0.51,1.00,0.51,1.00,0.51,1.00,0.51,692.00,361.00,331.00,0.97,1.00,0.94,1.00,1.00,0.00,0.94,331.00,0.00,331.00,1.00,0.00,0.00,0.00,0.94,1.00,0.00,0.00
14.00,523.00,257.00,257.00,257.00,266.00,0.00,1.00,0.00,0.49,"3,724.00","3,986.00","3,990.00",1.00,0.53,1.00,0.53,1.00,0.53,1.00,0.53,423.00,257.00,166.00,0.81,1.00,0.62,1.00,1.00,0.00,0.62,166.00,0.00,166.00,1.00,0.00,0.00,0.00,0.62,1.00,0.00,0.00
15.00,"1,559.00",761.00,761.00,761.00,798.00,0.00,1.00,0.00,0.49,"11,970.00","12,767.00","12,768.00",1.00,0.50,1.00,0.50,1.00,0.50,1.00,0.50,"1,516.00",761.00,755.00,0.97,1.00,0.95,1.00,1.00,0.00,0.95,755.00,0.00,755.00,1.00,0.00,0.00,0.00,0.95,1.00,0.07,0.07
16.00,"1,063.00",524.00,524.00,524.00,539.00,0.00,1.00,0.00,0.49,"8,624.00","9,152.00","9,163.00",1.00,0.52,1.00,0.52,1.00,0.53,1.00,0.52,886.00,524.00,362.00,0.83,1.00,0.67,1.00,1.00,0.00,0.67,362.00,0.00,362.00,1.00,0.00,0.00,0.00,0.67,1.00,0.07,0.07
17.00,462.00,236.00,236.00,236.00,226.00,0.00,1.00,0.00,0.51,"3,842.00","4,064.00","4,068.00",1.00,0.53,1.00,0.53,1.00,0.53,1.00,0.53,369.00,236.00,133.00,0.80,1.00,0.59,1.00,1.00,0.00,0.59,133.00,0.00,133.00,1.00,0.00,0.00,0.00,0.59,1.00,0.09,0.09
18.00,143.00,78.00,79.00,78.00,64.00,0.00,0.99,0.00,0.55,"1,152.00","1,209.00","1,216.00",1.00,0.54,1.00,0.53,1.00,0.54,1.00,0.53,112.00,78.00,34.00,0.78,0.99,0.53,0.99,0.99,0.00,0.53,34.00,0.00,34.00,1.00,0.00,0.00,0.00,0.53,1.00,0.05,0.05
19.00,768.00,377.00,379.00,377.00,389.00,0.00,0.99,0.00,0.49,"7,391.00","7,779.00","7,780.00",1.00,0.51,1.00,0.51,1.00,0.51,1.00,0.51,754.00,379.00,375.00,0.98,1.00,0.96,0.99,0.99,0.00,0.96,374.00,0.00,374.00,1.00,1.00,0.00,0.00,0.96,1.00,0.09,0.09
20.00,743.00,370.00,372.00,370.00,371.00,0.00,0.99,0.00,0.50,"7,420.00","7,765.00","7,791.00",1.00,0.52,1.00,0.52,1.00,0.52,1.00,0.52,659.00,372.00,287.00,0.89,1.00,0.77,0.99,0.99,0.00,0.77,286.00,0.00,286.00,1.00,1.00,0.00,0.00,0.77,0.99,0.06,0.06
21.00,547.00,285.00,285.00,285.00,262.00,0.00,1.00,0.00,0.52,"5,502.00","5,751.00","5,764.00",1.00,0.53,1.00,0.52,1.00,0.53,1.00,0.53,484.00,285.00,199.00,0.88,1.00,0.76,1.00,1.00,0.00,0.76,198.00,0.00,198.00,1.00,1.00,0.00,0.00,0.76,0.99,0.09,0.09
22.00,340.00,18.00,166.00,18.00,174.00,0.00,0.11,0.00,0.05,"3,828.00","4,000.00","4,002.00",0.96,0.47,0.96,0.47,0.99,0.50,0.99,0.50,268.00,160.00,108.00,0.79,0.96,0.62,0.96,0.96,0.00,0.62,108.00,0.00,108.00,1.00,0.00,0.00,0.00,0.62,0.99,0.07,0.07
23.00,233.00,0.00,106.00,0.00,127.00,0.00,0.00,0.00,0.00,"2,921.00","2,949.00","3,048.00",0.95,0.47,0.92,0.46,0.99,0.51,0.96,0.50,186.00,98.00,88.00,0.80,0.92,0.69,0.51,0.51,0.00,0.49,82.00,0.00,82.00,1.00,6.00,0.00,0.00,0.65,0.91,0.02,0.03
24.00,173.00,0.00,92.00,0.00,81.00,0.00,0.00,0.00,0.00,"1,944.00","1,948.00","2,025.00",0.92,0.42,0.88,0.40,0.97,0.47,0.93,0.45,103.00,61.00,42.00,0.60,0.66,0.52,0.34,0.43,0.00,0.36,34.00,0.00,34.00,1.00,8.00,0.00,0.00,0.42,0.86,0.05,0.06
