Dictionary Name,Total Sentences (#),Total Correct Transformations (#),Total Pos->Pos Transformations (#),Correct Pos->Pos Transformations (#),Total Pos->Neg Transformations (#),Correct Pos->Neg Transformations (#),Correct Pos->Pos Transformations (%),Correct Pos->Neg Transformations (%),Total Correct Transformations (%),Total source tokens,Total Prediction Tokens per Source,Total Target Tokens per Source,Pos->Pos Token Precision (%),Pos->Neg Token Precision (%),Pos->Pos Token Recall (%),Pos->Neg Token Recall (%),Pos->Pos Category Precision (%),Pos->Neg Category Precision (%),Pos->Pos Category Recall (%),Pos->Neg Category Recall (%),Parseable Sentences (#),Pos->Pos Parseable Sentences (#),Pos->Neg Parseable Sentences (#),Parseable Sentences (%),Pos->Pos Parseable Sentences (%),Pos->Neg Parseable Sentences (%),Pos->Pos Preseve Tree Structures (%),Pos->Pos Preserve Significant Clauses (%),Pos->Neg Preseve Tree Structures (%),Pos->Neg Preserve Significant Clauses (%),Pos->Neg Predictions with Main Clause (#),Pos->Neg Predictions that Negate Main Clause (#),Pos->Neg Predictions that Negate Outside Main Clause (#),Pos->Neg Predictions that Negate Outside Main Clause (%),Pos->Neg Predictions without Main Clause (#),Pos->Neg Predictions that Negate Main Clause (Denominator: all Pos->Neg sentences),Pos->Neg Predictions that Negate Main Clause (Denominator: only Pos->Neg sentences with main clauses),Pos->Neg Predictions with Main Clause (%),Pos->Neg Predictions Containing the Target Verb (%),Pos->Neg Predictions Negating the Target Verb (Denominator: all pos->neg sentences),Pos->Neg Predictions Negating the Target Verb (Denominator: pos->neg with target verb)
3.00,"1,103.00","1,103.00",544.00,544.00,559.00,559.00,1.00,1.00,1.00,"1,677.00","2,236.00","2,236.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"1,103.00",544.00,559.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,559.00,559.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00
4.00,262.00,262.00,133.00,133.00,129.00,129.00,1.00,1.00,1.00,516.00,645.00,645.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,262.00,133.00,129.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,129.00,129.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00
5.00,"2,136.00","2,136.00","1,072.00","1,072.00","1,064.00","1,064.00",1.00,1.00,1.00,"5,320.00","6,384.00","6,384.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"2,136.00","1,072.00","1,064.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"1,064.00","1,064.00",0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00
6.00,542.00,542.00,255.00,255.00,287.00,287.00,1.00,1.00,1.00,"1,722.00","2,009.00","2,009.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,542.00,255.00,287.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,287.00,287.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00
7.00,83.00,59.00,40.00,40.00,43.00,19.00,1.00,0.44,0.71,301.00,344.00,344.00,1.00,0.72,1.00,0.72,1.00,0.72,1.00,0.72,83.00,40.00,43.00,1.00,1.00,1.00,1.00,1.00,0.44,1.00,43.00,19.00,24.00,0.56,0.00,0.44,0.44,1.00,1.00,0.47,0.47
8.00,36.00,28.00,17.00,17.00,19.00,11.00,1.00,0.58,0.78,152.00,171.00,171.00,1.00,0.80,1.00,0.80,1.00,0.80,1.00,0.80,33.00,17.00,16.00,0.92,1.00,0.84,1.00,1.00,0.58,0.84,16.00,11.00,5.00,0.31,0.00,0.58,0.69,0.84,1.00,0.63,0.63
9.00,"1,968.00","1,896.00",963.00,963.00,"1,005.00",933.00,1.00,0.93,0.96,"9,045.00","10,050.00","10,050.00",1.00,0.96,1.00,0.96,1.00,0.96,1.00,0.96,"1,968.00",963.00,"1,005.00",1.00,1.00,1.00,1.00,1.00,0.93,1.00,"1,005.00",933.00,72.00,0.07,0.00,0.93,0.93,1.00,1.00,0.93,0.93
10.00,980.00,939.00,496.00,496.00,484.00,443.00,1.00,0.92,0.96,"4,840.00","5,324.00","5,324.00",1.00,0.96,1.00,0.96,1.00,0.96,1.00,0.96,958.00,496.00,462.00,0.98,1.00,0.95,1.00,1.00,0.92,0.95,462.00,443.00,19.00,0.04,0.00,0.92,0.96,0.95,1.00,0.92,0.92
11.00,391.00,325.00,207.00,207.00,184.00,118.00,1.00,0.64,0.83,"2,024.00","2,208.00","2,208.00",1.00,0.82,1.00,0.82,1.00,0.82,1.00,0.82,389.00,207.00,182.00,0.99,1.00,0.99,1.00,1.00,0.64,0.99,182.00,118.00,64.00,0.35,0.00,0.64,0.65,0.99,1.00,0.66,0.66
12.00,148.00,111.00,79.00,79.00,69.00,32.00,1.00,0.46,0.75,828.00,897.00,897.00,1.00,0.75,1.00,0.75,1.00,0.75,1.00,0.75,131.00,79.00,52.00,0.89,1.00,0.75,1.00,1.00,0.46,0.75,52.00,32.00,20.00,0.38,0.00,0.46,0.62,0.75,1.00,0.49,0.49
