Dictionary Name,Total Sentences (#),Total Correct Transformations (#),Total Pos->Pos Transformations (#),Correct Pos->Pos Transformations (#),Total Pos->Neg Transformations (#),Correct Pos->Neg Transformations (#),Correct Pos->Pos Transformations (%),Correct Pos->Neg Transformations (%),Total Correct Transformations (%),Total source tokens,Total Prediction Tokens per Source,Total Target Tokens per Source,Pos->Pos Token Precision (%),Pos->Neg Token Precision (%),Pos->Pos Token Recall (%),Pos->Neg Token Recall (%),Pos->Pos Category Precision (%),Pos->Neg Category Precision (%),Pos->Pos Category Recall (%),Pos->Neg Category Recall (%),Parseable Sentences (#),Pos->Pos Parseable Sentences (#),Pos->Neg Parseable Sentences (#),Parseable Sentences (%),Pos->Pos Parseable Sentences (%),Pos->Neg Parseable Sentences (%),Pos->Pos Preseve Tree Structures (%),Pos->Pos Preserve Significant Clauses (%),Pos->Neg Preseve Tree Structures (%),Pos->Neg Preserve Significant Clauses (%),Pos->Neg Predictions with Main Clause (#),Pos->Neg Predictions that Negate Main Clause (#),Pos->Neg Predictions that Negate Outside Main Clause (#),Pos->Neg Predictions that Negate Outside Main Clause (%),Pos->Neg Predictions without Main Clause (#),Pos->Neg Predictions that Negate Main Clause (Denominator: all Pos->Neg sentences),Pos->Neg Predictions that Negate Main Clause (Denominator: only Pos->Neg sentences with main clauses),Pos->Neg Predictions with Main Clause (%),Pos->Neg Predictions Containing the Target Verb (%),Pos->Neg Predictions Negating the Target Verb (Denominator: all pos->neg sentences),Pos->Neg Predictions Negating the Target Verb (Denominator: pos->neg with target verb)
7.00,182.00,0.00,80.00,0.00,102.00,0.00,0.00,0.00,0.00,714.00,747.00,816.00,0.40,0.26,0.37,0.24,0.55,0.35,0.52,0.32,155.00,79.00,76.00,0.85,0.99,0.75,0.00,0.00,0.00,0.00,19.00,19.00,0.00,0.00,57.00,0.19,1.00,0.19,0.63,0.61,0.97
8.00,114.00,0.00,60.00,0.00,54.00,0.00,0.00,0.00,0.00,432.00,475.00,486.00,0.45,0.27,0.43,0.27,0.60,0.36,0.58,0.35,69.00,47.00,22.00,0.61,0.78,0.41,0.02,0.02,0.00,0.00,4.00,4.00,0.00,0.00,18.00,0.07,1.00,0.07,0.44,0.44,1.00
9.00,806.00,0.00,415.00,0.00,391.00,0.00,0.00,0.00,0.00,"3,519.00","3,329.00","3,910.00",0.38,0.23,0.36,0.20,0.49,0.32,0.46,0.27,454.00,254.00,200.00,0.56,0.61,0.51,0.00,0.00,0.00,0.00,50.00,50.00,0.00,0.00,150.00,0.13,1.00,0.13,0.51,0.51,0.99
10.00,406.00,0.00,192.00,0.00,214.00,0.00,0.00,0.00,0.00,"2,140.00","2,015.00","2,354.00",0.35,0.26,0.33,0.22,0.48,0.35,0.45,0.30,189.00,99.00,90.00,0.47,0.52,0.42,0.00,0.01,0.00,0.00,19.00,17.00,2.00,0.11,71.00,0.08,0.89,0.09,0.39,0.36,0.93
11.00,799.00,0.00,400.00,0.00,399.00,0.00,0.00,0.00,0.00,"4,389.00","3,794.00","4,788.00",0.37,0.24,0.30,0.19,0.50,0.34,0.41,0.27,394.00,208.00,186.00,0.49,0.52,0.47,0.00,0.00,0.00,0.00,38.00,38.00,0.00,0.00,148.00,0.10,1.00,0.10,0.58,0.55,0.96
12.00,424.00,0.00,202.00,0.00,222.00,0.00,0.00,0.00,0.00,"2,664.00","2,183.00","2,886.00",0.37,0.27,0.29,0.21,0.53,0.39,0.42,0.30,216.00,115.00,101.00,0.51,0.57,0.46,0.00,0.00,0.00,0.00,24.00,24.00,0.00,0.00,77.00,0.11,1.00,0.11,0.54,0.52,0.97
13.00,715.00,0.00,361.00,0.00,354.00,0.00,0.00,0.00,0.00,"4,602.00","3,560.00","4,956.00",0.38,0.20,0.28,0.15,0.54,0.31,0.41,0.22,332.00,187.00,145.00,0.46,0.52,0.41,0.00,0.00,0.00,0.00,37.00,37.00,0.00,0.00,108.00,0.10,1.00,0.10,0.45,0.44,0.96
14.00,523.00,0.00,257.00,0.00,266.00,0.00,0.00,0.00,0.00,"3,724.00","2,788.00","3,990.00",0.33,0.21,0.26,0.15,0.49,0.32,0.38,0.22,160.00,75.00,85.00,0.31,0.29,0.32,0.00,0.00,0.00,0.00,16.00,16.00,0.00,0.00,69.00,0.06,1.00,0.06,0.39,0.38,0.97
15.00,"1,559.00",0.00,761.00,0.00,798.00,0.00,0.00,0.00,0.00,"11,970.00","8,109.00","12,768.00",0.31,0.22,0.23,0.14,0.47,0.34,0.34,0.22,521.00,235.00,286.00,0.33,0.31,0.36,0.00,0.00,0.00,0.00,55.00,55.00,0.00,0.00,231.00,0.07,1.00,0.07,0.55,0.52,0.94
16.00,"1,063.00",0.00,524.00,0.00,539.00,0.00,0.00,0.00,0.00,"8,624.00","5,710.00","9,163.00",0.31,0.22,0.22,0.14,0.50,0.34,0.35,0.21,333.00,159.00,174.00,0.31,0.30,0.32,0.00,0.00,0.00,0.00,21.00,21.00,0.00,0.00,153.00,0.04,1.00,0.04,0.49,0.47,0.95
